q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,Country,Year,Income Group,Susceptibility,q27
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
14 years,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
14 years,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,yes
14 years,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
14 years,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,yes
15 or above,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Bangladesh,2013,Lower middle income,susceptible,yes
15 or above,,Yes,Yes,No,Yes,Yes,,Yes,No,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
15 or above,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Bangladesh,2013,Lower middle income,susceptible,yes
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,susceptible,yes
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Bangladesh,2013,Lower middle income,susceptible,yes
15 or above,,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,yes
13 or below,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
13 or below,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Bangladesh,2013,Lower middle income,susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,yes
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,susceptible,yes
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bangladesh,2013,Lower middle income,susceptible,no
15 or above,,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
15 or above,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Bangladesh,2013,Lower middle income,non-susceptible,no
